item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,2448242759658,2448242759659,2448242759659,2448242760254,2448242762406,2448242763399,2448242763399,1,595,993,3740
1,1,1,2448242760255,2448242760255,2448242760255,2448242760894,2448242762422,2448242764285,2448242764285,0,639,1863,4030
2,2,1,2448242760894,2448242760894,2448242760894,2448242761536,2448242762438,2448242765250,2448242765251,0,642,2812,4356
3,3,1,2448242761536,2448242761537,2448242761537,2448242762170,2448242762454,2448242766155,2448242766155,1,633,3701,4618
4,0,1,2448242763400,2448242763400,2448242763400,2448242764107,2448242764304,2448242767002,2448242767003,0,707,2698,3602
5,1,1,2448242764304,2448242764304,2448242764304,2448242765067,2448242765270,2448242767878,2448242767879,0,763,2608,3574
6,2,1,2448242765270,2448242765270,2448242765270,2448242766010,2448242766174,2448242768731,2448242768731,0,740,2557,3461
7,3,1,2448242766174,2448242766175,2448242766175,2448242766822,2448242767022,2448242769627,2448242769627,1,647,2605,3452
8,0,1,2448242767022,2448242767022,2448242767022,2448242767698,2448242767897,2448242770531,2448242770531,0,676,2634,3509
9,1,1,2448242767897,2448242767897,2448242767897,2448242768545,2448242768750,2448242771388,2448242771388,0,648,2638,3491
10,2,1,2448242768751,2448242768751,2448242768751,2448242769449,2448242769647,2448242772260,2448242772260,0,698,2613,3509
11,3,1,2448242769647,2448242769647,2448242769647,2448242770354,2448242770552,2448242773146,2448242773146,0,707,2594,3499
12,0,1,2448242770552,2448242770552,2448242770552,2448242771206,2448242771408,2448242774021,2448242774021,0,654,2613,3469
13,1,1,2448242771408,2448242771408,2448242771408,2448242772082,2448242772281,2448242774851,2448242774852,0,674,2570,3443
14,2,1,2448242772281,2448242772281,2448242772281,2448242772964,2448242773165,2448242775708,2448242775708,0,683,2543,3427
15,3,1,2448242773165,2448242773165,2448242773165,2448242773842,2448242774041,2448242776561,2448242776561,0,677,2520,3396
16,0,1,2448242774041,2448242774041,2448242774041,2448242774673,2448242774870,2448242777445,2448242777445,0,632,2575,3404
17,1,1,2448242774870,2448242774871,2448242774871,2448242775531,2448242775727,2448242778295,2448242778295,1,660,2568,3424
18,2,1,2448242775728,2448242775728,2448242775728,2448242776383,2448242776579,2448242779138,2448242779138,0,655,2559,3410
19,3,1,2448242776579,2448242776580,2448242776580,2448242777263,2448242777465,2448242780158,2448242780159,1,683,2693,3578
20,0,1,2448242777465,2448242777465,2448242777465,2448242778115,2448242778314,2448242781042,2448242781042,0,650,2728,3577
21,1,1,2448242778314,2448242778314,2448242778314,2448242778962,2448242779156,2448242782049,2448242782050,0,648,2893,3735
22,2,1,2448242779156,2448242779156,2448242779156,2448242779804,2448242779999,2448242782866,2448242782866,0,648,2867,3710
23,3,1,2448242780159,2448242780159,2448242780159,2448242780862,2448242781060,2448242783893,2448242783893,0,703,2833,3734
24,0,1,2448242781061,2448242781061,2448242781061,2448242781694,2448242781888,2448242784726,2448242784727,0,633,2838,3665
